Date,State,Tax_Collection,Government_Spending,Budget_Deficit
2020-04-19,Karnataka,34390637,71828381,6461052
2020-04-20,Gujarat,49267293,85364092,11306850
2020-04-21,Karnataka,50109523,52101247,5941398
2020-04-22,Tamil Nadu,48336368,58628831,11552276
2020-04-23,Maharashtra,36378906,69504934,10049258
2020-04-24,Delhi,46901420,59564118,12847677
2020-04-25,Delhi,74181064,48052252,1722419
2020-04-26,Delhi,48750099,88899736,13680071
2020-04-27,Gujarat,77565697,57452157,4441192
2020-04-28,Gujarat,46641472,36915137,5765494
2020-04-29,Delhi,36814320,83889643,9598209
2020-04-30,Tamil Nadu,52826437,65781018,9028817
2020-05-01,Maharashtra,64058136,60424257,1096058
2020-05-02,Karnataka,75385082,47030398,10403706
2020-05-03,Delhi,53983740,80196865,5825916
2020-05-04,Delhi,69107945,53227889,9122118
2020-05-05,Delhi,58962962,79145560,9996564
2020-05-06,Maharashtra,42593663,54359338,12003265
2020-05-07,Delhi,37161581,41716505,8705766
2020-05-08,Tamil Nadu,63921590,67443017,1509215
2020-05-09,Karnataka,35138266,46100194,5368854
2020-05-10,Karnataka,36687688,36155831,2316187
2020-05-11,Karnataka,43470052,66690529,11004119
2020-05-12,Tamil Nadu,35491398,37531973,12686719
2020-05-13,Tamil Nadu,70411899,45580902,1210793
2020-05-14,Maharashtra,43213493,72916065,14974531
2020-05-15,Gujarat,67217072,64857047,14052470
2020-05-16,Gujarat,73525990,39751290,14334822
2020-05-17,Gujarat,36092908,59664299,3595387
2020-05-18,Gujarat,56596457,71497648,7757993
2020-05-19,Delhi,53659988,67964468,11792754
2020-05-20,Karnataka,75385088,58200077,14487456
2020-05-21,Tamil Nadu,32887757,62045711,3939424
2020-05-22,Maharashtra,62444958,41628771,10251673
2020-05-23,Tamil Nadu,37265855,76801094,14049921
2020-05-24,Maharashtra,75586528,69840599,3968161
2020-05-25,Maharashtra,34758998,76954025,1477118
2020-05-26,Gujarat,42393877,45870780,9990065
2020-05-27,Maharashtra,40291363,45951035,1269745
2020-05-28,Delhi,50126890,46686008,6620142
2020-05-29,Tamil Nadu,66667451,87513452,10486542
2020-05-30,Gujarat,58009054,42308441,4834038
2020-05-31,Tamil Nadu,55432601,60695753,7975104
2020-06-01,Maharashtra,78839229,86251862,5058969
2020-06-02,Maharashtra,55390270,79608530,14778683
2020-06-03,Gujarat,63031165,80150585,2700591
2020-06-04,Tamil Nadu,57590004,48791017,2100682
2020-06-05,Delhi,34244470,72299146,4687452
2020-06-06,Gujarat,72964125,89024900,4311952
2020-06-07,Delhi,41510110,82222616,2225290
2020-06-08,Gujarat,56603198,39889492,1720985
2020-06-09,Maharashtra,69938802,67245099,5620925
2020-06-10,Tamil Nadu,51089453,59197708,8917928
2020-06-11,Gujarat,79935372,75761365,10676050
2020-06-12,Tamil Nadu,61081084,66407195,1606596
2020-06-13,Maharashtra,50644786,57473882,11110486
2020-06-14,Maharashtra,76521288,81396616,2556726
2020-06-15,Karnataka,62481513,83626319,2996120
2020-06-16,Karnataka,44116101,71163093,2644738
2020-06-17,Tamil Nadu,77037354,45302000,4869575
2020-06-18,Karnataka,65603673,87392164,3207240
2020-06-19,Karnataka,50758095,56163801,2673780
2020-06-20,Delhi,31580559,81633417,5036458
2020-06-21,Karnataka,65325156,68348877,1862053
2020-06-22,Delhi,78586157,72812264,7088199
2020-06-23,Karnataka,51380207,67047296,4457980
2020-06-24,Tamil Nadu,56839576,82854109,5060531
2020-06-25,Delhi,61661955,57609745,3634434
2020-06-26,Karnataka,44169057,41054098,5397093
2020-06-27,Karnataka,57400066,55683217,5974545
2020-06-28,Delhi,65362228,54538240,11834228
2020-06-29,Tamil Nadu,64613941,38085306,3948134
2020-06-30,Tamil Nadu,76056693,37149582,7540256
2020-07-01,Delhi,77381341,49541497,9664290
2020-07-02,Delhi,30700624,39442463,1529110
2020-07-03,Tamil Nadu,57582875,45363581,3689963
2020-07-04,Gujarat,69128961,72176906,10494424
2020-07-05,Tamil Nadu,38942206,36421525,1777831
2020-07-06,Maharashtra,59081553,51880987,14774535
2020-07-07,Maharashtra,40268254,73795087,10020320
2020-07-08,Karnataka,39119660,48160171,4508114
2020-07-09,Delhi,50267369,63333003,9696911
2020-07-10,Karnataka,32136461,63181886,3375153
2020-07-11,Karnataka,50573802,64675743,13712112
2020-07-12,Tamil Nadu,59502229,43611367,13652952
2020-07-13,Tamil Nadu,74860716,63182806,11144016
2020-07-14,Delhi,33900783,50576253,1874205
2020-07-15,Tamil Nadu,53244774,64457365,11237401
2020-07-16,Maharashtra,51667745,39547079,11434416
2020-07-17,Gujarat,70751834,54086439,6629062
2020-07-18,Karnataka,73030453,73471867,13348200
2020-07-19,Tamil Nadu,35208489,68919339,1722947
2020-07-20,Maharashtra,39535928,75375106,6971678
2020-07-21,Delhi,75337596,58153477,14482779
2020-07-22,Gujarat,60620769,63101713,3419139
2020-07-23,Tamil Nadu,67008957,70565351,10560585
2020-07-24,Delhi,34288361,41617823,5331203
2020-07-25,Tamil Nadu,70983710,77279234,6071212
2020-07-26,Delhi,47905342,46000675,2163521
2020-07-27,Tamil Nadu,76318291,89898307,2394090
2020-07-28,Delhi,53742504,58112963,5984178
2020-07-29,Delhi,30761751,71471706,1144890
2020-07-30,Karnataka,73459059,70799450,8460730
2020-07-31,Delhi,44566744,38264363,14271599
2020-08-01,Tamil Nadu,33910361,64216335,8240023
2020-08-02,Karnataka,62222477,65906967,4172237
2020-08-03,Gujarat,70833261,54383608,2937536
2020-08-04,Delhi,56813160,58997108,8467253
2020-08-05,Gujarat,50591098,39895374,7774969
2020-08-06,Maharashtra,32776956,88467642,1692574
2020-08-07,Delhi,46566043,53811139,3173229
2020-08-08,Maharashtra,77346182,75913905,5606855
2020-08-09,Delhi,38835303,80461213,5803923
2020-08-10,Gujarat,72028183,39443862,14617305
2020-08-11,Maharashtra,49010522,51233532,2233678
2020-08-12,Maharashtra,79616977,80328095,8110776
2020-08-13,Gujarat,36286760,78268607,6708851
2020-08-14,Maharashtra,39878865,56871750,4682853
2020-08-15,Tamil Nadu,78679619,58655748,3334064
2020-08-16,Maharashtra,72534528,57562598,1319415
2020-08-17,Maharashtra,71807168,73038320,13611069
2020-08-18,Delhi,78154099,51314591,1293732
2020-08-19,Karnataka,40940824,52716156,12898521
2020-08-20,Gujarat,49220995,63666337,8228582
2020-08-21,Delhi,31967054,79910497,11079512
2020-08-22,Delhi,34931303,64019106,12659696
2020-08-23,Tamil Nadu,36647169,70942318,7616337
2020-08-24,Gujarat,52738296,53268082,10366520
2020-08-25,Karnataka,78609534,71224412,4531550
2020-08-26,Delhi,46519162,37391760,13867689
2020-08-27,Gujarat,60370581,35862333,1484752
2020-08-28,Maharashtra,76489601,50074147,7443176
2020-08-29,Tamil Nadu,72490440,65447866,13508134
2020-08-30,Delhi,77212107,62541913,1323914
2020-08-31,Karnataka,43501931,83970184,5400174
2020-09-01,Maharashtra,40461607,38315891,13658686
2020-09-02,Karnataka,63552480,68763118,11546023
2020-09-03,Tamil Nadu,31785854,83083226,1336188
2020-09-04,Maharashtra,32403358,37995866,12911029
2020-09-05,Gujarat,58558026,44632135,5126007
2020-09-06,Tamil Nadu,71013193,88850794,9526114
2020-09-07,Gujarat,45310500,69769390,2960106
2020-09-08,Maharashtra,53770510,49836368,4701804
2020-09-09,Maharashtra,75920465,76183376,4783028
2020-09-10,Gujarat,59353807,50768117,2574521
2020-09-11,Delhi,30730717,46216782,3510753
2020-09-12,Tamil Nadu,58113849,76865269,3750266
2020-09-13,Tamil Nadu,68871433,40405356,5099450
2020-09-14,Gujarat,45941944,62997737,1045283
2020-09-15,Delhi,56137019,60939755,11206832
2020-09-16,Maharashtra,65667330,66448134,4439960
2020-09-17,Gujarat,46783018,43047178,4758369
2020-09-18,Maharashtra,72647855,46391497,5976854
2020-09-19,Gujarat,43944342,54847998,13539247
2020-09-20,Delhi,43975999,57537400,14711022
2020-09-21,Tamil Nadu,71697819,37992745,13239054
2020-09-22,Tamil Nadu,70578008,61858324,10415556
2020-09-23,Maharashtra,78973250,61002214,11569492
2020-09-24,Maharashtra,44911733,62819906,1243937
2020-09-25,Karnataka,38551117,69374680,4335228
2020-09-26,Delhi,77617608,37130388,13588762
2020-09-27,Karnataka,71256039,37073302,13662054
2020-09-28,Delhi,50604192,37277325,7744788
2020-09-29,Gujarat,31966467,60376268,7005913
2020-09-30,Delhi,41994403,38987818,2260969
2020-10-01,Maharashtra,32055322,48168041,4618311
2020-10-02,Delhi,49034880,67491422,7148832
2020-10-03,Tamil Nadu,45270748,88615841,3716793
2020-10-04,Karnataka,57890083,42603675,4519811
2020-10-05,Delhi,47153030,89126449,9235466
2020-10-06,Maharashtra,77395673,54582966,7489974
2020-10-07,Tamil Nadu,74167132,87698545,10349211
2020-10-08,Karnataka,69971493,81419109,2642728
2020-10-09,Maharashtra,41920885,68354396,1005340
2020-10-10,Karnataka,31896883,35358245,5745567
2020-10-11,Tamil Nadu,40741009,53403764,10202623
2020-10-12,Delhi,56537402,63557851,13304225
2020-10-13,Tamil Nadu,78807596,53213310,5010420
2020-10-14,Tamil Nadu,34099010,63635397,13907135
2020-10-15,Tamil Nadu,54797957,76735552,7645525
2020-10-16,Maharashtra,37311492,81762746,3137776
2020-10-17,Delhi,52551703,46179644,9943897
2020-10-18,Gujarat,78205206,56105994,12321574
2020-10-19,Gujarat,49589271,61560670,1478040
2020-10-20,Delhi,41320270,66726156,11936953
2020-10-21,Maharashtra,55639424,63311440,6223940
2020-10-22,Karnataka,65002436,53020762,3868093
2020-10-23,Maharashtra,47486203,59082641,5798494
2020-10-24,Delhi,54981031,79976525,4392476
2020-10-25,Tamil Nadu,38414722,57032215,13932617
2020-10-26,Maharashtra,77915556,38884501,10543693
2020-10-27,Gujarat,55199214,38825794,9667364
2020-10-28,Delhi,76646604,51262706,6088834
2020-10-29,Maharashtra,36921943,51918323,4344531
2020-10-30,Delhi,76795050,89150923,13435235
2020-10-31,Maharashtra,70981540,78480304,1951554
2020-11-01,Gujarat,69588962,46614398,1566051
2020-11-02,Karnataka,49200275,84339382,2850932
2020-11-03,Karnataka,37739584,46291760,2189057
2020-11-04,Tamil Nadu,44706930,57590855,5526642
2020-11-05,Gujarat,36262527,44596060,12988835
2020-11-06,Maharashtra,60835248,47723363,7925744
2020-11-07,Tamil Nadu,51587161,36763721,11179183
2020-11-08,Karnataka,77855885,85902670,13153025
2020-11-09,Tamil Nadu,54117305,72007155,2477055
2020-11-10,Maharashtra,42124679,77505654,4812073
2020-11-11,Delhi,47120332,82953623,14277393
2020-11-12,Karnataka,68112041,45482583,10453947
2020-11-13,Maharashtra,49554403,83408642,3560524
2020-11-14,Delhi,34693065,77128273,12980970
2020-11-15,Karnataka,32709912,75459476,6424155
2020-11-16,Gujarat,40374727,85359055,6510101
2020-11-17,Tamil Nadu,67540678,83094747,1497503
2020-11-18,Karnataka,47555816,69825800,10026892
2020-11-19,Delhi,49083635,77889085,4191038
2020-11-20,Maharashtra,69611265,74827825,13632373
2020-11-21,Maharashtra,64167327,72624994,8117792
2020-11-22,Delhi,35103528,48838016,10032123
2020-11-23,Delhi,37831502,83842898,12375733
2020-11-24,Delhi,53385067,51235987,2013910
2020-11-25,Delhi,58580468,52535067,10978601
2020-11-26,Delhi,54640739,86830098,11629513
2020-11-27,Maharashtra,75279376,69657855,11275673
2020-11-28,Maharashtra,44753017,49129536,10561741
2020-11-29,Maharashtra,64360225,57676165,6483129
2020-11-30,Delhi,52688358,88900061,11884171
2020-12-01,Delhi,74433783,37777959,8179350
2020-12-02,Tamil Nadu,52419916,56992462,8186242
2020-12-03,Tamil Nadu,37811372,41430232,13846584
2020-12-04,Gujarat,45900169,83491503,4378831
2020-12-05,Maharashtra,70218674,40020805,9797000
2020-12-06,Tamil Nadu,65846332,69058974,10805192
2020-12-07,Gujarat,64111541,85537485,12867736
2020-12-08,Gujarat,79315359,82948361,8162015
2020-12-09,Gujarat,55068698,40330591,4752775
2020-12-10,Maharashtra,72892738,68796210,12966098
2020-12-11,Karnataka,40119657,38301805,5175602
2020-12-12,Karnataka,79432245,57668062,6153606
2020-12-13,Tamil Nadu,79669259,55757017,1059801
2020-12-14,Maharashtra,63384830,81523916,9805957
2020-12-15,Gujarat,51246344,58835462,5742798
2020-12-16,Delhi,74822629,70582653,5415292
2020-12-17,Gujarat,68510799,44672459,4864371
2020-12-18,Karnataka,38116045,86964118,8589710
2020-12-19,Gujarat,64821587,67117067,11289767
2020-12-20,Tamil Nadu,78985451,80649551,1976529
2020-12-21,Tamil Nadu,58682281,35529178,14585580
2020-12-22,Karnataka,35161944,82343449,3870192
2020-12-23,Tamil Nadu,56421627,71444943,6238517
2020-12-24,Delhi,79758719,41460347,1837876
2020-12-25,Maharashtra,71601305,68321083,3168696
2020-12-26,Tamil Nadu,43447761,52078259,4482096
2020-12-27,Tamil Nadu,31708840,65633602,11968555
2020-12-28,Delhi,77705662,72357707,2126492
2020-12-29,Maharashtra,37727868,89213525,13349525
2020-12-30,Maharashtra,30534700,66198713,7493314
2020-12-31,Delhi,64953042,83376111,9468859
2021-01-01,Karnataka,36667632,76368847,13737758
2021-01-02,Tamil Nadu,79543019,70135857,11183854
2021-01-03,Gujarat,48967885,50821087,1018304
2021-01-04,Gujarat,70455171,38712392,3205839
2021-01-05,Tamil Nadu,72378768,86206398,7327041
2021-01-06,Delhi,79732166,77530619,1388881
2021-01-07,Karnataka,51523746,45049555,12181157
2021-01-08,Delhi,64018263,53721870,7581602
2021-01-09,Karnataka,54234936,83081663,14719310
2021-01-10,Tamil Nadu,41276923,70576691,11864198
2021-01-11,Tamil Nadu,63059564,75614957,2330054
2021-01-12,Gujarat,66567216,76952903,14963693
2021-01-13,Tamil Nadu,70620291,65107945,4050085
2021-01-14,Maharashtra,30303922,70459448,5044918
2021-01-15,Maharashtra,46054547,36915988,12233175
2021-01-16,Delhi,40570682,72869885,10871792
2021-01-17,Tamil Nadu,47803825,69616499,11238099
2021-01-18,Maharashtra,66512903,52139055,9149574
2021-01-19,Tamil Nadu,59581589,48789097,12994626
2021-01-20,Gujarat,44611680,37588942,5243878
2021-01-21,Delhi,58546017,77372116,14849249
2021-01-22,Tamil Nadu,56186402,75753433,1642410
2021-01-23,Gujarat,52530557,78197289,4429912
2021-01-24,Maharashtra,64286869,48382394,12035809
2021-01-25,Tamil Nadu,49671013,71192007,4082436
2021-01-26,Karnataka,79805460,88056617,2209851
2021-01-27,Tamil Nadu,43425790,37712688,8047534
2021-01-28,Karnataka,47536242,70660727,4408971
2021-01-29,Gujarat,30791243,46753046,5470122
2021-01-30,Tamil Nadu,63648478,73554983,5883911
2021-01-31,Gujarat,74794988,67723244,3835548
2021-02-01,Delhi,66655080,89552947,11659604
2021-02-02,Maharashtra,66204568,42100938,3092260
2021-02-03,Gujarat,51978075,63191755,11327921
2021-02-04,Maharashtra,72931090,63788148,12667486
2021-02-05,Maharashtra,53427673,74045775,13163635
2021-02-06,Gujarat,45034119,49023242,13637321
2021-02-07,Tamil Nadu,46881226,82234990,13454038
2021-02-08,Tamil Nadu,31755766,62357071,12012673
2021-02-09,Tamil Nadu,34574671,53469753,9264682
2021-02-10,Gujarat,53563374,61904705,3818639
2021-02-11,Karnataka,40466320,59304460,10503380
2021-02-12,Tamil Nadu,43630973,88571526,5579341
2021-02-13,Karnataka,46032752,60143313,12486094
2021-02-14,Tamil Nadu,40914767,74089940,3902425
2021-02-15,Delhi,64664613,62981028,14821012
2021-02-16,Tamil Nadu,34823404,69303587,1893168
2021-02-17,Maharashtra,76002336,48567594,11816389
2021-02-18,Gujarat,38226622,38298616,5561697
2021-02-19,Gujarat,60110807,66334565,9334073
2021-02-20,Karnataka,50623938,80018605,14186970
2021-02-21,Gujarat,47198923,60009783,5135174
2021-02-22,Maharashtra,58427834,47758300,7101679
2021-02-23,Karnataka,68861528,64246999,1432619
2021-02-24,Maharashtra,34825297,66857835,14761275
2021-02-25,Gujarat,62388010,46748918,9659922
2021-02-26,Karnataka,66842005,88648083,9325787
2021-02-27,Maharashtra,68121413,46920454,8914777
2021-02-28,Karnataka,70873075,85865355,4013623
2021-03-01,Tamil Nadu,34304136,72528268,2756011
2021-03-02,Tamil Nadu,34251664,36604783,4008362
2021-03-03,Tamil Nadu,70790611,63049978,12517543
2021-03-04,Delhi,70843531,46774249,7463482
2021-03-05,Tamil Nadu,73735153,58516271,13673028
2021-03-06,Karnataka,34133274,56501861,10014070
2021-03-07,Tamil Nadu,73410953,63326096,14293036
2021-03-08,Karnataka,71247908,36077903,6819800
2021-03-09,Maharashtra,62903865,62241257,6411239
2021-03-10,Gujarat,63058207,51828755,4336622
2021-03-11,Tamil Nadu,42907350,79313587,3526062
2021-03-12,Maharashtra,61851287,63212832,11430129
2021-03-13,Tamil Nadu,68779445,54200973,13806583
2021-03-14,Karnataka,64884755,61879971,2511757
2021-03-15,Gujarat,76925621,37670698,5633810
2021-03-16,Karnataka,68085349,76139041,12095280
2021-03-17,Gujarat,36230559,42868502,2039702
2021-03-18,Maharashtra,70504251,81956983,4135768
2021-03-19,Gujarat,69303191,61768736,12963668
2021-03-20,Tamil Nadu,41296026,51807458,10448698
2021-03-21,Gujarat,63808470,77369217,14512294
2021-03-22,Tamil Nadu,48034022,47668374,12354888
2021-03-23,Delhi,79176835,82184692,8914720
2021-03-24,Gujarat,39438875,88079439,7860874
2021-03-25,Karnataka,71780813,81017035,8731728
2021-03-26,Delhi,48080361,48971294,5302733
2021-03-27,Maharashtra,69549011,40387574,13331538
2021-03-28,Maharashtra,50570699,58493523,4234530
2021-03-29,Gujarat,48573638,68807390,1351899
2021-03-30,Tamil Nadu,60067555,79799610,5021641
2021-03-31,Tamil Nadu,45064165,81009866,10934216
2021-04-01,Karnataka,43657368,69004182,3328225
2021-04-02,Gujarat,33257708,66929935,7654777
2021-04-03,Delhi,40110536,58611608,9258174
2021-04-04,Delhi,66493571,83046812,11374081
2021-04-05,Gujarat,60378579,89853990,12338931
2021-04-06,Maharashtra,46312508,87146232,5430952
2021-04-07,Karnataka,37120537,71792294,8350240
2021-04-08,Maharashtra,60338534,36656287,10435447
2021-04-09,Maharashtra,75301864,56216849,2797693
2021-04-10,Karnataka,39450093,40551069,10124476
2021-04-11,Delhi,59071574,47579400,1871675
2021-04-12,Karnataka,45592054,36439305,5700500
2021-04-13,Gujarat,52848695,87193521,13625057
2021-04-14,Karnataka,69989241,71406869,8761725
2021-04-15,Delhi,73868038,73168334,7416157
2021-04-16,Maharashtra,32794816,89570605,3734168
2021-04-17,Tamil Nadu,68646485,72378519,10134676
2021-04-18,Karnataka,55426200,43953695,1760315
2021-04-19,Gujarat,66977571,88437069,12092988
2021-04-20,Gujarat,67994166,85417040,6045754
2021-04-21,Delhi,37882707,72485573,2215992
2021-04-22,Maharashtra,57060752,57687499,13457434
2021-04-23,Tamil Nadu,39524983,65163257,10449031
2021-04-24,Tamil Nadu,47647250,53985583,7327942
2021-04-25,Karnataka,72700674,81969011,5262246
2021-04-26,Gujarat,65942225,73693365,11515098
2021-04-27,Karnataka,32899536,76861777,9923308
2021-04-28,Delhi,41139389,83417443,12897944
2021-04-29,Tamil Nadu,60390455,84826336,9289393
2021-04-30,Delhi,34059400,66046938,1315732
2021-05-01,Gujarat,50554788,74115173,3581447
2021-05-02,Gujarat,53904348,76300700,10234144
2021-05-03,Gujarat,43944091,73488722,2769965
2021-05-04,Gujarat,56478822,49324770,14870571
2021-05-05,Gujarat,50055788,42589606,2638023
2021-05-06,Delhi,42758977,45773273,7541009
2021-05-07,Delhi,38310797,36539371,2844079
2021-05-08,Tamil Nadu,52183046,74687790,7177063
2021-05-09,Maharashtra,51849905,76271465,9415674
2021-05-10,Tamil Nadu,50408379,61857541,4359045
2021-05-11,Tamil Nadu,78106880,59631173,6910083
2021-05-12,Karnataka,77940339,73165225,4495758
2021-05-13,Karnataka,75487821,36757595,13711239
2021-05-14,Tamil Nadu,65128346,47930539,1959574
2021-05-15,Tamil Nadu,59293577,50760178,7658727
2021-05-16,Tamil Nadu,30764140,70714403,3539746
2021-05-17,Gujarat,77368267,59568890,12486043
2021-05-18,Maharashtra,38177965,35257410,5738282
2021-05-19,Maharashtra,37449985,45257432,3846683
2021-05-20,Gujarat,34166757,56861923,7369438
2021-05-21,Delhi,55286698,46888245,7272488
2021-05-22,Delhi,47858795,70760772,4459703
2021-05-23,Gujarat,46460525,54540522,10054098
2021-05-24,Karnataka,51369131,78004231,13734236
2021-05-25,Delhi,50536353,81929320,6027052
2021-05-26,Karnataka,77219983,60552752,3565125
2021-05-27,Delhi,33088823,57111170,12833990
2021-05-28,Gujarat,31940153,37838853,1300653
2021-05-29,Maharashtra,67182131,84743663,13428116
2021-05-30,Maharashtra,70085993,59324480,7058242
2021-05-31,Karnataka,76574260,79271985,10635980
2021-06-01,Tamil Nadu,54106764,37556260,8235827
2021-06-02,Karnataka,47941386,75337516,8791911
2021-06-03,Gujarat,75919717,62197767,2342821
2021-06-04,Gujarat,43094205,72504769,1179118
2021-06-05,Delhi,41196048,81777050,11340844
2021-06-06,Karnataka,69898895,47227787,9929955
2021-06-07,Karnataka,68391329,75982358,7431046
2021-06-08,Tamil Nadu,67583400,43014346,11947825
2021-06-09,Maharashtra,71456095,44489258,9854155
2021-06-10,Tamil Nadu,74535292,65866314,14862490
2021-06-11,Delhi,41187414,56471207,13684911
2021-06-12,Delhi,57413091,80289359,7098555
2021-06-13,Maharashtra,55081248,57975825,5840056
2021-06-14,Maharashtra,58545943,77883255,8042404
2021-06-15,Delhi,73641017,53040683,14709000
2021-06-16,Maharashtra,45394416,38623000,13682266
2021-06-17,Delhi,46290028,59394819,11845212
2021-06-18,Gujarat,69726272,38569737,1147244
2021-06-19,Delhi,38387906,70984087,13893203
2021-06-20,Tamil Nadu,74101688,57873197,9239804
2021-06-21,Delhi,72262033,58756610,5352891
2021-06-22,Tamil Nadu,45514328,48761141,10898597
2021-06-23,Karnataka,66045380,64786116,3826445
2021-06-24,Delhi,32527600,44749755,8872461
2021-06-25,Karnataka,76715169,66285348,4143609
2021-06-26,Delhi,73862963,54040161,10764251
