Year,State,Enrollment,Graduation_Rate,Education_Budget
2020,Tamil Nadu,1422145,76,701777090
2024,Karnataka,1732453,79,674338855
2016,Delhi,1902259,69,471677191
2020,Delhi,989328,76,671532600
2018,Tamil Nadu,1735628,79,772435769
2024,Gujarat,1821009,87,764506870
2016,Tamil Nadu,1864586,78,630346520
2015,Tamil Nadu,1771540,71,706457706
2019,Delhi,960867,69,432935289
2015,Maharashtra,1233457,86,307940081
2020,Maharashtra,1898913,82,281998373
2016,Maharashtra,1259300,65,470265148
2015,Karnataka,1908346,79,249734617
2020,Delhi,1604037,81,335235293
2017,Gujarat,1581192,68,547974664
2017,Tamil Nadu,1077909,81,768519716
2016,Delhi,1727137,84,478186295
2023,Maharashtra,988326,89,345860954
2018,Gujarat,1884359,67,510980980
2017,Karnataka,1626112,76,251536443
2023,Maharashtra,1767616,74,211515290
2021,Tamil Nadu,1677919,77,619585323
2017,Delhi,1209405,82,799150471
2024,Karnataka,951292,74,580969128
2023,Maharashtra,1426437,80,529576426
2018,Tamil Nadu,1328601,89,366300871
2020,Delhi,1151861,90,424271501
2022,Delhi,1902862,67,718225701
2016,Karnataka,1411969,66,300931173
2017,Maharashtra,842218,87,270836199
2021,Tamil Nadu,1283970,72,212532516
2023,Maharashtra,1028196,87,575461610
2019,Gujarat,1087647,79,271646532
2024,Delhi,1562242,75,211044691
2023,Karnataka,1402943,72,684192833
2016,Delhi,1269667,81,716556491
2015,Gujarat,1321324,87,375071710
2021,Maharashtra,1654301,89,757774715
2020,Delhi,1223215,85,546673042
2021,Tamil Nadu,807194,82,563711281
2018,Tamil Nadu,1339198,69,762366425
2024,Karnataka,1527007,74,776478717
2016,Maharashtra,1621081,80,247774888
2024,Gujarat,1371415,90,275395880
2016,Delhi,1086432,77,786680808
2018,Karnataka,1748538,86,675734188
2016,Gujarat,1502666,77,645053702
2017,Gujarat,864168,77,768004892
2022,Maharashtra,1216845,73,576971824
2023,Delhi,1308876,71,234197984
2015,Tamil Nadu,910430,71,319437060
2015,Delhi,1411753,79,378646948
2017,Maharashtra,1899425,75,775670605
2015,Delhi,1607601,85,709215127
2018,Tamil Nadu,1311939,69,417826553
2020,Gujarat,1929688,79,794106889
2018,Tamil Nadu,1720983,79,415047595
2020,Gujarat,1859873,71,792969115
2019,Karnataka,1798264,66,522587566
2019,Gujarat,1410577,72,769101513
2019,Gujarat,845380,81,438192758
2018,Maharashtra,868397,88,761984421
2023,Maharashtra,1385444,90,575716822
2018,Gujarat,1519549,81,494522516
2019,Maharashtra,1635579,72,319373176
2019,Tamil Nadu,1545257,67,514485793
2015,Tamil Nadu,1177211,78,343621947
2023,Tamil Nadu,1710065,83,472231187
2024,Maharashtra,1120521,80,403968516
2024,Maharashtra,1331673,87,666163754
2023,Maharashtra,1163230,81,585963166
2021,Delhi,1988216,77,244318720
2021,Maharashtra,1756823,81,204627026
2021,Tamil Nadu,1016699,77,677839105
2017,Maharashtra,1833696,71,543192411
2015,Karnataka,1793909,70,261288932
2023,Gujarat,1061304,68,344960214
2020,Gujarat,1800106,87,566651882
2015,Maharashtra,1022000,70,652170671
2019,Karnataka,1994262,69,338409842
2021,Gujarat,1132617,72,413000319
2023,Karnataka,1159397,89,287772799
2021,Tamil Nadu,1756157,70,261397188
2024,Gujarat,1971940,77,550105485
2015,Gujarat,1272440,85,570488326
2024,Tamil Nadu,1788883,87,444074986
2016,Delhi,1201970,68,333988856
2019,Gujarat,1483463,73,569007506
2019,Karnataka,1766429,76,647665296
2016,Delhi,1760853,69,303668617
2019,Karnataka,1540901,87,458493929
2019,Delhi,1734220,89,278086393
2019,Karnataka,1284188,86,210772854
2024,Gujarat,1545345,80,772966487
2015,Gujarat,1718418,77,567434695
2022,Tamil Nadu,1549692,81,486229792
2019,Gujarat,1709835,71,277583576
2022,Tamil Nadu,1136543,76,343948785
2022,Karnataka,1887480,71,518920451
2015,Gujarat,1341384,85,242327675
2019,Karnataka,1175132,82,702101087
2022,Gujarat,1234516,90,361081497
2021,Gujarat,1535579,69,324389636
2023,Tamil Nadu,1605432,80,448800011
2021,Maharashtra,1892464,74,259946960
2022,Tamil Nadu,1668768,74,663735492
2021,Tamil Nadu,1110560,75,591529313
2015,Delhi,1288349,70,404451943
2019,Gujarat,1082445,67,490120589
2019,Gujarat,1751540,69,780556197
2015,Maharashtra,1553433,72,652829915
2018,Karnataka,1671402,83,730651969
2016,Tamil Nadu,1780233,88,474595653
2020,Karnataka,1630855,75,475896428
2019,Gujarat,1424496,86,496247476
2016,Maharashtra,1335752,68,298223403
2015,Tamil Nadu,1584700,67,310376901
2017,Delhi,1243649,84,674544785
2023,Tamil Nadu,1004991,86,277570584
2018,Gujarat,1813280,76,422925205
2023,Gujarat,922235,70,243910024
2023,Tamil Nadu,1845525,78,615516700
2016,Maharashtra,1090783,68,641853633
2022,Delhi,978580,88,659056238
2018,Karnataka,1926954,76,506059026
2015,Delhi,1926931,80,441426173
2016,Karnataka,1749462,65,581068308
2020,Tamil Nadu,916312,74,358928388
2023,Maharashtra,1975156,67,345482293
2024,Karnataka,1167307,67,690425143
2024,Delhi,1689339,68,483747252
2019,Gujarat,1945085,71,700279136
2021,Maharashtra,1656061,83,345033482
2020,Maharashtra,1313444,90,340605405
2021,Maharashtra,1656608,81,296424852
2015,Maharashtra,912532,68,378973902
2017,Delhi,1508203,70,309071234
2016,Delhi,1549541,75,384807496
2021,Tamil Nadu,1234308,72,337491729
2019,Gujarat,948336,86,547378621
2016,Delhi,1532254,69,782044875
2021,Karnataka,1189979,87,581213397
2016,Maharashtra,1453689,85,782497411
2017,Maharashtra,834720,76,736330461
2016,Maharashtra,1813903,82,438509619
2015,Gujarat,1290472,73,219181811
2019,Maharashtra,1725766,78,252854961
2017,Gujarat,1768248,66,720317476
2023,Delhi,815304,87,306193054
2019,Delhi,1109170,73,527195619
2021,Maharashtra,1180852,76,257954686
2016,Delhi,1987146,84,643630558
2020,Karnataka,1534082,87,366329373
2017,Tamil Nadu,1077541,71,689466916
2020,Delhi,1949493,75,535542958
2017,Tamil Nadu,838350,76,404168514
2022,Gujarat,1920846,82,461926129
2018,Tamil Nadu,1188728,66,214015654
2017,Maharashtra,1227758,73,484757685
2015,Karnataka,1485215,76,550975649
2022,Gujarat,1900228,89,742487711
2015,Maharashtra,1556204,76,397741436
2021,Tamil Nadu,1778006,73,485433840
2019,Gujarat,833051,83,446044666
2015,Maharashtra,1304352,84,792871593
2017,Delhi,1714241,75,665630219
2023,Karnataka,1811167,83,262861146
2019,Tamil Nadu,1022297,72,545702182
2015,Delhi,1149840,74,664427633
2015,Gujarat,1656740,83,772327915
2017,Delhi,1580399,69,754895704
2019,Maharashtra,1529921,75,207148415
2016,Maharashtra,1576230,89,523087601
2024,Tamil Nadu,1842372,72,554650110
2024,Maharashtra,1399743,84,382433863
2019,Gujarat,814574,87,272435556
2021,Maharashtra,1892300,77,484804670
2022,Karnataka,1838014,88,756170302
2019,Maharashtra,1114072,70,642336553
2017,Delhi,1395865,88,790077935
2017,Gujarat,898693,86,207776205
2023,Tamil Nadu,1017022,66,371202429
2017,Tamil Nadu,1757803,75,203999648
2018,Maharashtra,847810,69,798240878
2016,Karnataka,1081588,82,368306591
2020,Gujarat,1099667,68,665149723
2019,Tamil Nadu,1553267,72,343943870
2020,Gujarat,1370095,88,491787119
2016,Delhi,950735,70,477850326
2019,Karnataka,977237,88,705254643
2019,Tamil Nadu,1678819,82,624521898
2022,Delhi,1583169,75,781791878
2023,Karnataka,1494589,66,425444152
2021,Tamil Nadu,1552064,84,619842244
2019,Tamil Nadu,1413667,81,680102641
2022,Maharashtra,1439844,73,770400089
2016,Maharashtra,1278149,81,693291288
2022,Gujarat,1798423,88,466832741
2021,Delhi,918996,74,600584165
2018,Maharashtra,1635599,84,235170228
2018,Maharashtra,1619505,83,774964183
2022,Tamil Nadu,947249,75,448396515
2021,Delhi,1947160,73,353692425
2024,Maharashtra,1044842,67,298277306
2022,Delhi,1931026,76,667619352
2015,Karnataka,1917956,86,724173623
2019,Gujarat,1426420,75,258748292
2015,Gujarat,1863909,69,673938527
2021,Gujarat,1640403,66,482219530
2023,Tamil Nadu,1744527,77,255717766
2015,Gujarat,1280705,78,620369489
2022,Gujarat,962368,67,279807104
2021,Delhi,1513475,67,540245295
2022,Delhi,1921074,84,616672599
2015,Gujarat,1244653,69,536822211
2022,Tamil Nadu,821605,66,566445232
2017,Maharashtra,1293818,77,349519865
2023,Karnataka,1929992,79,265753103
2024,Gujarat,1697295,71,541666812
2018,Delhi,1311032,73,782373422
2023,Delhi,1704825,70,215902630
2024,Delhi,1663692,83,639348959
2022,Delhi,1960641,66,471495698
2022,Maharashtra,1589459,73,337505835
2018,Gujarat,1409422,86,356175341
2018,Maharashtra,1737694,70,208530873
2015,Tamil Nadu,1359026,72,232171289
2018,Maharashtra,1724539,65,340944703
2017,Delhi,1049168,73,763932556
2024,Tamil Nadu,1198481,73,586869011
2019,Tamil Nadu,1471305,75,783573679
2020,Gujarat,952068,70,311050516
2023,Tamil Nadu,1113503,82,523289712
2022,Tamil Nadu,1744183,74,299422198
2022,Tamil Nadu,974141,89,607805455
2021,Delhi,1870065,75,717358904
2023,Delhi,1191333,67,227935910
2020,Tamil Nadu,1381766,68,230329051
2021,Karnataka,1678444,89,370606033
2022,Gujarat,1026654,74,297173675
2023,Gujarat,963181,81,230714516
2021,Gujarat,1339303,68,751470221
2023,Maharashtra,809723,82,588927053
2018,Gujarat,1976562,69,641695682
2017,Maharashtra,1044766,72,521540770
2021,Karnataka,1904422,65,232016542
2018,Gujarat,992552,86,357590262
2015,Maharashtra,1214660,90,642995072
2024,Tamil Nadu,1364407,66,554355789
2021,Delhi,1023574,67,543976629
2015,Gujarat,1017340,85,429532802
2015,Karnataka,1759505,83,645412061
2018,Maharashtra,1046176,68,469716623
2017,Gujarat,1090146,68,273113733
2020,Tamil Nadu,1001415,70,237956810
2015,Tamil Nadu,1780906,81,331640081
2022,Delhi,1648858,87,572144344
2019,Karnataka,1688638,82,472834694
2016,Maharashtra,1125376,87,442781544
2020,Tamil Nadu,905059,75,322742276
2021,Tamil Nadu,1670980,71,264793649
2023,Maharashtra,1498051,86,475770676
2019,Delhi,848014,81,240464235
2018,Gujarat,1831779,77,510339579
2018,Karnataka,1278564,89,531689569
2015,Gujarat,1173477,66,597151357
2017,Gujarat,931023,88,658199254
2024,Delhi,1154457,88,737754875
2015,Delhi,968688,67,326195420
2021,Delhi,1984138,72,216375770
2022,Karnataka,968033,66,303233194
2024,Tamil Nadu,1762726,65,694423380
2017,Tamil Nadu,1984336,66,392635378
2024,Delhi,1919930,88,635601883
2019,Tamil Nadu,1030657,80,483357608
2024,Maharashtra,1557133,73,346384717
2017,Karnataka,1655589,71,774205665
2023,Tamil Nadu,1338026,66,468074959
2021,Gujarat,1510525,65,639040796
2022,Maharashtra,1209300,82,428301761
2017,Karnataka,1162337,74,415124538
2017,Maharashtra,1211086,67,510565131
2016,Maharashtra,1451952,78,302273457
2018,Delhi,1342975,70,508218196
2016,Maharashtra,1659377,85,771694199
2015,Delhi,1664559,74,705992808
2022,Gujarat,1064475,72,601862243
2016,Tamil Nadu,900335,88,634891129
2023,Gujarat,1380789,84,440576576
2019,Maharashtra,968311,71,230137347
2023,Maharashtra,1097340,83,492173021
2023,Maharashtra,912262,80,748414484
2017,Gujarat,951494,66,766240127
2023,Karnataka,1548077,76,377228276
2017,Tamil Nadu,847589,81,351455213
2024,Tamil Nadu,1257878,65,588619736
2024,Gujarat,1180019,69,490955331
2015,Delhi,1581821,89,686585030
2018,Maharashtra,897738,81,775217435
2015,Delhi,1886940,73,755637646
2024,Karnataka,1294072,70,554933426
2020,Tamil Nadu,888080,74,469297253
2023,Karnataka,883774,80,532940554
2022,Tamil Nadu,989791,87,356280198
2023,Tamil Nadu,841369,74,314743394
2015,Delhi,1068651,65,414251693
2024,Tamil Nadu,1929808,67,607475480
2018,Gujarat,875204,68,552113655
2020,Tamil Nadu,801346,90,474410096
2022,Gujarat,1688446,80,256896324
2023,Gujarat,1818477,77,225675210
2024,Karnataka,1520527,65,656857260
2016,Gujarat,1675920,77,357228945
2019,Delhi,1119865,70,257790548
2022,Maharashtra,1164902,80,420930789
2015,Tamil Nadu,1789761,74,450477634
2024,Karnataka,854883,68,643668698
2019,Gujarat,1571675,90,283862284
2021,Gujarat,1156065,70,543763274
2020,Tamil Nadu,1071028,82,649646295
2019,Tamil Nadu,1187459,86,296756448
2019,Gujarat,854965,83,288309398
2016,Karnataka,1567557,78,254252079
2018,Gujarat,1659892,89,780864989
2017,Gujarat,1748355,71,457495780
2017,Tamil Nadu,1924857,81,265691352
2024,Karnataka,1193571,78,203294568
2019,Gujarat,1230094,79,286470618
2019,Karnataka,1221877,83,643664205
2020,Delhi,1484428,78,264939845
2015,Karnataka,1047351,85,456249056
2017,Tamil Nadu,1199455,84,511800815
2022,Maharashtra,1680172,71,434718656
2016,Tamil Nadu,1291837,72,286662912
2020,Karnataka,1740360,88,551039761
2020,Maharashtra,822819,90,247749906
2020,Delhi,1888611,71,224772445
2024,Tamil Nadu,1866608,71,280854639
2016,Tamil Nadu,1042034,65,406822538
2019,Karnataka,1791184,74,748982893
2018,Tamil Nadu,1601387,67,613798663
2021,Gujarat,1609740,77,488489741
2015,Karnataka,1780686,73,457114359
2024,Maharashtra,1424394,75,422116831
2024,Maharashtra,1174166,82,689109358
2018,Tamil Nadu,1094513,88,483492467
2019,Maharashtra,993264,69,305107694
2017,Maharashtra,1526565,68,413094242
2018,Tamil Nadu,1272848,65,324596254
2015,Tamil Nadu,1491131,77,795925424
2024,Karnataka,1680397,82,350298620
2022,Maharashtra,882847,65,296905942
2017,Delhi,1350365,71,749616378
2021,Karnataka,934701,82,687430187
2020,Karnataka,1028591,71,224603233
2023,Delhi,1545677,75,393287910
2022,Tamil Nadu,803824,85,242564421
2022,Maharashtra,1667209,90,252803700
2020,Delhi,1948562,73,530159374
2023,Maharashtra,1548477,68,404124539
2021,Gujarat,1492648,89,524322070
2018,Gujarat,1201004,69,261204469
2023,Delhi,1361399,75,282111330
2024,Delhi,1059923,79,580838807
2023,Delhi,948778,77,665538729
2018,Maharashtra,1383172,77,614210836
2023,Karnataka,1725584,90,324337883
2018,Tamil Nadu,1897636,74,297503163
2021,Delhi,1201506,66,615042791
2021,Delhi,1325849,76,449571017
2015,Delhi,1011051,81,330119248
2017,Tamil Nadu,1681858,78,275310324
2024,Tamil Nadu,1135976,84,495128659
2015,Karnataka,1097625,77,364314973
2018,Gujarat,1830583,67,200713396
2016,Maharashtra,1080325,89,443935608
2018,Karnataka,1234544,89,586625384
2018,Karnataka,1217656,72,590299642
2023,Karnataka,1340278,76,224496244
2017,Gujarat,1340680,84,447983727
2021,Tamil Nadu,1415996,85,272971704
2016,Tamil Nadu,1350934,80,542829348
2018,Maharashtra,1382629,86,401052007
2017,Gujarat,1225426,82,302073245
2019,Gujarat,1485463,68,570368541
2023,Delhi,948457,87,716045481
2018,Delhi,1586027,82,489063850
2017,Delhi,1105988,65,637723881
2022,Gujarat,1778565,69,799277682
2018,Delhi,1834245,89,310200231
2016,Delhi,1325359,81,706954121
2020,Tamil Nadu,1315200,67,227556777
2020,Gujarat,1752530,75,447570338
2018,Delhi,1007547,72,656992784
2024,Gujarat,1042154,75,286736874
2022,Delhi,1084811,69,692730036
2017,Maharashtra,1720710,83,487698781
2021,Delhi,1073378,86,665890782
2023,Maharashtra,930522,78,711819760
2018,Karnataka,1608722,71,598771314
2015,Gujarat,1697873,87,681129682
2015,Delhi,1228611,79,725090637
2015,Maharashtra,1519402,73,520909095
2015,Karnataka,1671278,88,611505307
2020,Tamil Nadu,816474,83,556271750
2022,Gujarat,1196219,82,524678967
2019,Gujarat,865724,82,280810479
2015,Tamil Nadu,1137730,79,371733240
2023,Delhi,800538,73,534682621
2016,Maharashtra,1999105,65,320300092
2016,Karnataka,1083180,70,337112146
2024,Tamil Nadu,1109412,78,362078595
2020,Tamil Nadu,1035202,70,320769911
2016,Tamil Nadu,1004989,89,547829144
2020,Maharashtra,1503994,89,608309986
2022,Karnataka,1365475,65,797989339
2023,Maharashtra,863030,79,367409713
2016,Maharashtra,1157321,77,727922135
2020,Karnataka,1232662,79,637994741
2023,Tamil Nadu,1175736,73,548013746
2021,Gujarat,1088926,85,520070546
2015,Tamil Nadu,1964153,79,734235028
2016,Gujarat,1612546,81,624765235
2016,Gujarat,1569294,66,633319040
2016,Delhi,1972904,89,479902826
2017,Tamil Nadu,832797,72,524581607
2020,Tamil Nadu,1862465,74,420593290
2018,Tamil Nadu,887388,66,246676173
2020,Tamil Nadu,1236239,74,777422810
2023,Tamil Nadu,1928930,66,619524771
2015,Karnataka,1274119,66,632362798
2015,Gujarat,1408808,76,479590954
2023,Gujarat,1238296,81,543979123
2019,Delhi,957311,88,545732608
2018,Tamil Nadu,1374286,73,365078959
2023,Tamil Nadu,1823828,68,646951730
2020,Delhi,1703620,66,723775667
2023,Karnataka,952205,70,409565809
2023,Tamil Nadu,1024567,65,668885780
2017,Karnataka,1004669,85,384290078
2020,Tamil Nadu,1438845,83,402512829
2022,Maharashtra,1053044,75,491897591
2024,Delhi,1773021,75,520473791
2015,Maharashtra,1990250,78,464699677
2017,Tamil Nadu,1078874,82,714482820
2020,Delhi,1939150,75,750095312
2016,Karnataka,1436350,66,428193059
2016,Delhi,1626640,85,600189098
2019,Maharashtra,1543244,73,210194824
2020,Maharashtra,1695824,89,400847871
2018,Karnataka,1862358,79,245789785
2016,Delhi,881870,86,216479177
2018,Karnataka,1107622,72,515731498
2024,Maharashtra,807147,77,335028052
2015,Delhi,1139063,66,673736483
2020,Delhi,1659263,71,579286586
2020,Tamil Nadu,1806789,70,519563198
2017,Karnataka,1424077,73,505209410
2024,Delhi,1272304,78,707344188
2023,Delhi,1470665,90,630098166
2024,Gujarat,886711,89,793144378
2017,Delhi,812632,66,458575092
2015,Delhi,1833145,86,343188662
2019,Gujarat,933408,90,226049400
2016,Tamil Nadu,1340907,88,378670072
2023,Karnataka,1453111,70,327014968
2018,Karnataka,1517017,88,522992999
2023,Gujarat,1874440,80,299086249
2018,Tamil Nadu,1534065,77,220431494
2019,Maharashtra,1720803,73,687694613
2015,Gujarat,1749966,71,735696442
2023,Maharashtra,1366703,74,442667562
2015,Gujarat,1748170,79,389025063
2020,Karnataka,1256002,85,492273687
2019,Maharashtra,1344195,82,756643391
2024,Karnataka,1656125,76,651438796
2020,Delhi,1421388,65,651389048
2017,Karnataka,1139055,74,668512549
2020,Karnataka,1329023,65,650852627
2020,Delhi,1373403,89,454811126
2021,Tamil Nadu,870044,80,360737169
2019,Gujarat,1024349,87,345622948
2024,Karnataka,1842042,70,405572828
2016,Tamil Nadu,885638,82,559496288
2019,Karnataka,978527,78,585060782
2015,Gujarat,1639887,67,354050118
2023,Delhi,826545,66,398445078
2021,Maharashtra,985324,68,501405472
2017,Delhi,1696865,88,717596515
2019,Karnataka,1413607,84,246547399
2021,Gujarat,1705304,89,717378024
