State,Year,Literacy_Rate,Employment_Rate,Unemployment_Rate,Average_Income,PM2_5_Level,Green_Cover_Percentage,Total_Crime_Cases,Health_Spending_Crore,Education_Spending_Crore
Rajasthan,2021,86.11913256578785,87.7551361129679,11.9,19639,95.02620877789244,18.18,284828,30609,31478
Rajasthan,2022,88.6764113087397,88.23343858880011,11.52,22409,107.43353668634859,29.18,390487,22999,70318
Rajasthan,2023,88.1390078760011,94.9318160017344,5.79,18289,107.37329836352194,21.72,275885,27368,30328
Rajasthan,2024,84.44918999505255,92.45174655286037,6.92,26528,113.16475086123104,28.45,254263,10126,67329
Kerala,2010,79.13944985355702,81.96660259337399,18.44,12493,60.815372743549474,28.21,184560,32116,51244
Kerala,2011,80.79884326342477,82.6505185348341,17.21,13579,36.24656454043141,14.55,344446,78244,26694
Kerala,2012,80.6804214306335,84.89011991575208,14.97,14617,42.869106586390075,10.09,163224,50738,40150
Kerala,2013,81.36441050510861,93.34518594802586,7.05,15931,44.200134467413605,28.37,287855,51914,85507
Kerala,2014,84.12629139067808,83.89002564728445,16.28,16110,28.061943674307386,13.31,169956,56240,52148
Kerala,2015,84.509677718293,89.76530649860977,10.52,15039,42.059519185105195,29.22,330912,62853,39917
Kerala,2016,83.10231684145639,95.43409233026644,5.05,17602,59.89638953318275,21.91,323021,12482,39442
Kerala,2017,86.72981518496009,85.07434580840834,14.76,18287,40.54405061613334,26.73,370178,28449,48536
Kerala,2018,87.29653161114722,86.49388163274612,13.2,19429,70.89789103753021,18.82,176737,21485,53565
Kerala,2019,88.94911165680679,80.9974247367211,18.46,19099,51.81942491015752,15.45,281026,62603,41399
Kerala,2020,89.48674269271088,89.46729473501051,10.12,17682,54.76770182154199,14.44,393671,40678,78230
Kerala,2021,85.37759661001387,83.03454721265436,18.44,24152,51.716825105191674,14.76,214929,44911,46821
Kerala,2022,90.66758590084098,92.7223397903684,7.9,26579,42.40034634290857,28.89,277157,76358,32327
Kerala,2023,87.09477635765965,88.82446281689599,10.5,25689,56.665178472645366,24.08,323952,33236,30358
Kerala,2024,89.73238239421971,88.18877102162821,11.15,22120,65.41998047821372,22.48,359829,11279,78197
West Bengal,2010,69.72869703281715,91.94093303085924,8.3,18332,68.2778925580306,19.42,318671,61920,43529
West Bengal,2011,69.6787998023462,84.30363239868899,15.97,19211,61.53331083843114,22.67,210774,33752,70029
West Bengal,2012,72.00763043631264,86.60444191765868,13.67,19518,65.38502062254896,23.66,206133,71268,53243
West Bengal,2013,71.26540609095521,80.88252210322315,18.99,20683,72.18604002864222,19.95,359483,11622,63756
West Bengal,2014,71.96798190158262,81.98727286999855,17.95,22852,67.69279797440633,22.01,197924,69052,26664
West Bengal,2015,73.12895539173132,85.91393976207968,14.25,22649,73.45262767109276,10.94,251371,48709,76120
West Bengal,2016,72.09429099819278,89.09294650314666,10.95,22363,48.68749863146407,17.11,372320,34762,26046
West Bengal,2017,75.31805708297284,93.13034981362622,5.76,23776,59.46850399147787,29.08,375685,31792,74129
West Bengal,2018,73.07982634590283,83.8151001847124,16.07,25665,63.756922281392356,21.94,216017,57304,47921
West Bengal,2019,76.77208297320097,84.74429678286984,14.83,25047,58.51572626791278,18.26,281132,65337,28350
West Bengal,2020,74.86141774401774,81.25760570945425,18.83,23349,68.79980976424163,26.15,156960,45772,36520
West Bengal,2021,81.60314999803072,88.1826295013017,13.31,25258,54.508952089348234,20.84,240327,10338,86431
West Bengal,2022,80.42782270386951,91.57374083273716,8.61,30415,60.20447180527603,28.07,227454,37935,52641
West Bengal,2023,81.99113517930593,94.8332351569138,5.01,29890,67.83076899439583,19.46,363382,54813,52198
West Bengal,2024,83.76377158505036,84.92090075098862,15.54,34391,74.6240708161177,26.89,187265,27850,81150
Madhya Pradesh,2010,61.14816183483702,81.39134394360461,18.85,15155,64.34528741677214,16.8,301734,33510,55998
Madhya Pradesh,2011,61.6690017390841,88.30004724522593,11.91,16208,74.07653086560666,27.72,229273,62393,81081
Madhya Pradesh,2012,62.010015663359134,93.42342529660785,6.88,16895,50.47059957769746,28.78,219346,49974,31371
Madhya Pradesh,2013,62.84675898636521,82.35827178241477,18.67,16734,96.87561433628902,15.43,291688,60072,39574
Madhya Pradesh,2014,63.588603717400794,90.49455578233705,8.94,17823,62.00638537585436,12.21,183933,34951,47413
Madhya Pradesh,2015,66.28131173128833,90.96681603840572,9.27,19717,73.28667053566093,10.9,285566,53001,82364
Madhya Pradesh,2016,66.39570796306121,80.87680943500924,18.66,19909,59.35131883262206,27.58,278301,39757,49636
Madhya Pradesh,2017,69.46961156130264,91.42775632317112,8.85,18973,74.02653879034139,14.61,214754,44157,55042
Madhya Pradesh,2018,66.23359796985137,82.85065674425695,16.69,20199,54.26276402154372,25.59,268533,60948,88781
Madhya Pradesh,2019,71.28840676885031,93.05131659319747,6.74,25500,77.88185753675174,23.92,262855,34578,43831
Madhya Pradesh,2020,69.95699338164502,89.19245504288105,10.66,25390,63.26010955915697,10.7,252979,44701,32674
Madhya Pradesh,2021,72.56711716849884,84.46790835967236,16.02,21652,70.51083954724511,23.1,214772,68762,65106
Madhya Pradesh,2022,68.5578125598951,84.24922722197121,16.21,21197,68.78546021114363,23.91,220831,51873,24903
Madhya Pradesh,2023,73.75222590927999,80.51714131177681,18.86,29401,31.22309914884584,21.85,300201,11591,26303
Madhya Pradesh,2024,75.09354915130606,88.51746705549992,11.51,24772,55.33334337227378,27.57,157314,29623,82675
Maharashtra,2010,70.20196384572894,81.98521007262542,17.66,19408,117.64427664720536,10.41,150769,69735,77955
Maharashtra,2011,70.29055786856553,79.38074754466234,19.99,20603,111.20763483844183,22.35,235305,38693,86932
Maharashtra,2012,71.50934041671565,84.26149147478782,15.63,21265,92.11233963776857,17.33,215725,45773,82435
Maharashtra,2013,71.92074576524965,88.73575860577209,11.11,21006,94.71894306351204,22.15,377348,20627,23792
Maharashtra,2014,73.98368635002959,93.34335824317276,7.87,22261,106.947304612864,18.8,274358,58555,32159
Maharashtra,2015,72.42182996874334,93.85647991268034,6.36,22814,93.63469913310989,23.25,169457,76557,67995
Maharashtra,2016,73.46616143920672,93.85119124962289,5.46,25664,110.72210183636176,11.77,241387,11016,70591
Maharashtra,2017,76.21180392150788,90.92761299791452,8.79,25553,111.39396333341766,21.74,344776,49099,23571
Maharashtra,2018,75.64827017486294,84.95069164771469,15.56,24334,100.48697162103932,17.9,283767,58190,20258
Maharashtra,2019,75.81004567707373,91.71422138643496,9.33,28886,99.66992115001597,22.12,284633,36854,79505
Maharashtra,2020,74.85721864924524,92.15700834388102,7.05,28771,94.23582874901582,16.22,360647,73335,25965
Maharashtra,2021,81.8979017667187,86.14003780743047,12.92,25829,99.92375348780615,24.26,334064,16910,15206
Maharashtra,2022,79.19701509314137,81.31548258768589,19.62,26314,103.4908148749469,16.29,260687,28141,86910
Maharashtra,2023,79.73033688291194,91.52480708868545,8.67,27990,98.83452702081041,11.54,225450,32299,58585
Maharashtra,2024,82.2048474230773,83.99585363406182,15.57,27442,83.36091404087342,18.33,324013,31834,33047
Tamil Nadu,2010,79.85418831603097,83.68731454306122,16.58,18753,70.58908531397635,26.36,205016,19474,73053
Tamil Nadu,2011,81.02722296450429,84.94212613049157,13.74,19408,73.21658781615291,28.86,243557,71087,83840
Tamil Nadu,2012,82.33636450962969,80.97168775329858,19.03,20108,65.58590729354357,14.94,215318,33664,82172
Tamil Nadu,2013,82.55180007729722,80.71391058642153,19.45,21533,68.55596156721552,15.57,157392,65680,61717
Tamil Nadu,2014,82.40469283395694,87.80213506976892,12.66,23512,71.58896408996212,14.84,220467,62662,27688
Tamil Nadu,2015,85.61584935532417,85.01305202385373,14.48,23466,80.37970071827112,11.81,306256,52107,66663
Tamil Nadu,2016,81.93572868968496,88.90284358070168,11.14,24598,94.99780351464958,10.33,184754,21411,17911
Tamil Nadu,2017,84.73438285018605,93.6472876869702,5.89,24201,81.8972678109383,23.51,354728,49384,62254
Tamil Nadu,2018,86.35014311061094,90.56769187783716,9.56,24032,73.87556301439662,13.5,371807,26371,17049
Tamil Nadu,2019,90.77877952929843,94.03232683881849,5.52,26770,67.81491000967907,15.58,323714,25151,66407
Tamil Nadu,2020,90.91016505268692,93.10594958041989,6.69,29212,72.17135917534561,22.84,293946,42711,20539
Tamil Nadu,2021,91.95265926213955,88.60209230260487,10.9,24323,75.75798492187712,10.1,328047,31357,17869
Tamil Nadu,2022,90.53041339368926,95.24556812091183,5.08,26230,66.01173282014038,10.36,241412,13987,73871
Tamil Nadu,2023,92.36614939934405,93.16922555832832,7.26,31237,60.012302604768614,17.35,169830,27429,21893
Tamil Nadu,2024,93.14325194086535,94.5626897150213,5.32,30523,76.88195731354863,28.12,180746,59377,63404
Bihar,2010,72.5465397105604,90.85911899748002,9.16,14922,86.61601883490142,13.54,274123,28589,58484
Bihar,2011,73.49852041361157,92.52570429268323,6.75,15946,80.98581469316734,29.06,153420,10301,60236
Bihar,2012,74.40841094553014,94.5501616759966,5.3,16028,70.36724561065247,15.37,366386,36641,49584
Bihar,2013,74.24850388790571,92.63489769147913,7.34,18375,78.07528626275571,11.41,392289,14014,26093
Bihar,2014,76.06813340972356,85.12039654551499,16.19,17749,91.96216885841652,12.73,359141,64748,20801
Bihar,2015,77.65312170841935,91.59401648711292,7.85,20457,80.31942137115907,28.26,368617,12368,21655
Bihar,2016,76.45170905067013,81.49208861937622,19.24,21646,84.07065001653329,18.77,274862,62921,64726
Bihar,2017,80.66594241951704,93.0784293867329,7.42,22638,74.35762941776497,15.01,220313,63006,30338
Bihar,2018,78.03037989531715,87.97031820224507,12.17,23234,88.80495918509652,11.71,347484,68335,71179
Bihar,2019,80.08511087105674,91.36931024209755,9.51,20294,70.85314266679505,12.65,383841,27019,88847
Bihar,2020,79.28567393279606,86.76605273630344,13.42,20472,91.43098307432217,18.18,216617,26896,61175
Bihar,2021,82.11537114784079,90.91457959783396,9.28,25506,91.03540097616684,15.6,284415,23500,68222
Bihar,2022,83.92918247439131,86.51343967349123,13.46,27055,90.3760240201177,13.17,353861,71389,24435
Bihar,2023,80.51837399178042,81.22178444120931,19.39,29207,72.81507834804472,24.07,376507,53919,50247
Bihar,2024,87.66096772611577,85.73823461690544,14.81,26476,84.21350249340787,28.98,247379,78385,55158
Karnataka,2010,60.59502082359554,89.9471613562519,9.74,19201,85.78704308736567,28.88,312049,59115,75890
Karnataka,2011,61.95514172701592,89.50037640270061,9.84,20102,89.91875461703067,26.41,253691,48304,84449
Karnataka,2012,61.78939457951326,84.00850968130217,15.89,20501,82.5994044521762,17.55,247532,37350,40351
Karnataka,2013,62.56047892708965,89.81998071780117,9.78,21416,88.20866660807641,23.86,188513,36092,26338
Karnataka,2014,64.74182507545751,90.99823771269233,8.97,23450,66.74791410634157,15.64,194425,48756,33888
Karnataka,2015,64.83419937029298,89.25871906734207,11.36,24262,78.10413872446657,21.61,369798,17357,47479
Karnataka,2016,66.97138888174507,86.20134917245662,13.57,25354,83.86151286181318,25.09,302424,65069,29397
Karnataka,2017,66.68381477181849,85.81858830934422,14.16,24159,88.64955806235358,23.54,313379,64098,75921
Karnataka,2018,67.94597294290365,86.7590113674042,13.27,24843,84.49467542087262,16.57,292202,70566,81703
Karnataka,2019,70.2263200386078,81.79421544110265,18.63,26816,89.53425574213438,18.83,188102,16801,87267
Karnataka,2020,70.15964170994572,91.4265553330077,7.45,30269,75.20413427371669,26.77,171677,56732,65343
Karnataka,2021,66.47931759515804,92.02664985261735,7.67,30139,98.40647269291777,28.94,318152,11324,50909
Karnataka,2022,71.33089965773395,87.33564184613974,12.77,28376,78.53031573061132,24.1,175289,65129,30485
Karnataka,2023,71.82816383735124,80.77003947821343,19.83,29966,87.90349193306689,24.92,389564,71629,81040
Karnataka,2024,71.233244237949,84.04404877624691,15.71,34713,77.01683689615287,14.47,264821,77641,51395
Gujarat,2010,84.94900505492983,92.93172364697907,6.13,14672,76.51933441565919,11.51,221726,27640,67528
Gujarat,2011,83.98187231090316,87.12985572298307,13.18,15611,59.5834888715387,21.69,300159,51430,39504
Gujarat,2012,87.77418735239037,94.06231880558718,5.62,15753,67.88321867723941,16.71,159337,56427,76529
Gujarat,2013,86.69020518592242,82.84516667045482,16.56,16730,72.89857356575438,17.21,154835,30159,62605
Gujarat,2014,87.09409140836877,83.88782730514339,15.8,17823,57.252081268018294,12.66,272402,55445,20713
Gujarat,2015,87.89004703643724,88.62773732117208,11.28,20389,80.10937037553867,11.65,208141,33793,71570
Gujarat,2016,87.94638695253128,80.0976276677309,19.6,19253,74.65727248309064,17.62,170309,16970,87474
Gujarat,2017,90.21329221841317,79.84721697145046,19.05,18352,65.67975015748395,12.68,150404,50943,62926
Gujarat,2018,92.9781155196521,92.63853309844356,7.81,24270,72.03894226661751,25.38,160916,14809,47201
Gujarat,2019,92.2870156769334,84.25743752063937,16.38,20463,73.75552627640455,15.03,203932,27100,72091
Gujarat,2020,90.95465879961833,90.40576099566975,9.92,23998,67.7480904324262,23.43,339089,71877,58125
Gujarat,2021,96.45871643658985,84.0511571647876,15.38,26458,67.21788554546228,29.36,275917,34285,52626
Gujarat,2022,94.27503386534438,81.90925423302625,17.99,20913,83.71636755349068,24.08,203682,69494,80215
Gujarat,2023,91.3278409439863,85.25673934238527,14.74,26540,81.67861577076987,17.84,304458,71886,68413
Gujarat,2024,95.94520945257179,93.95939719478095,6.34,24592,96.5389263933384,25.93,395897,65479,34963
Uttar Pradesh,2010,61.84248050123311,83.47417024435904,16.86,8550,94.61197324814408,16.83,287326,27144,39214
Uttar Pradesh,2011,63.45170779261914,81.91291310061075,17.72,9147,81.71190375652415,16.91,364879,43434,84724
Uttar Pradesh,2012,63.991190601483204,89.07099777820679,10.97,9863,92.65996948645117,26.44,368577,46668,38061
Uttar Pradesh,2013,63.44054952335749,82.03864020230762,18.19,11017,86.55561584786692,20.07,262428,33624,38321
Uttar Pradesh,2014,66.41532719800381,90.14791116107338,10.58,10779,78.36058040691935,27.47,300334,62796,19432
Uttar Pradesh,2015,65.672762966479,92.44225326991237,7.91,13669,86.32706096387959,17.41,261317,18717,43699
Uttar Pradesh,2016,66.80351515278018,87.33452834368775,13.06,14689,87.28806710263336,10.73,392999,15126,20122
Uttar Pradesh,2017,69.8593651110146,87.72191331396469,12.32,14657,95.05337484341872,20.65,316926,56271,88688
Uttar Pradesh,2018,69.21849754363477,83.43522957260176,17.27,15708,84.52281005420188,26.81,287301,66793,62915
Uttar Pradesh,2019,68.44671576615055,85.34488139797975,14.86,16036,107.81302996020334,19.59,287443,36069,27910
Uttar Pradesh,2020,71.29682730349066,86.03945604491321,13.53,14443,77.0934418334633,15.68,344053,64553,63447
Uttar Pradesh,2021,71.70131773261951,86.0416849850626,14.66,21646,76.8277377311918,12.04,266421,11605,86158
Uttar Pradesh,2022,71.37286207499032,93.10895163626952,7.24,15288,104.48617505505393,26.12,366727,37446,28046
Uttar Pradesh,2023,68.5979308267035,80.04847798943575,19.73,21392,99.22439689571027,10.11,281189,23234,68441
Uttar Pradesh,2024,74.27438120515174,88.33025351630037,11.43,18294,99.87862475617189,25.39,287541,40105,57101
Rajasthan,2010,77.93067860772513,90.75828777257038,9.39,10394,100.9408164033574,28.64,255292,57362,35128
Rajasthan,2011,78.74096037711764,87.04159239763379,13.19,11278,92.78686380843051,20.98,189809,15287,49387
Rajasthan,2012,79.93685563452932,90.3186461328156,9.78,12458,97.51109548068979,18.24,374861,52078,27219
Rajasthan,2013,81.52676715075698,82.01565433672144,18.14,13428,129.69567726581596,28.77,234555,15415,51159
Rajasthan,2014,81.25792168235468,93.47997868728818,7.37,12785,95.25756231916274,13.27,236740,25524,34282
Rajasthan,2015,83.08204358414417,88.38577157611743,12.15,14149,106.25527083943538,27.54,365128,53303,74207
Rajasthan,2016,83.21473524446232,85.74531779563252,14.35,15337,111.88223865443335,20.05,300168,77728,49016
Rajasthan,2017,82.5761960924315,88.45065529038375,12.02,14220,94.11387258469635,14.58,161302,77506,56157
Rajasthan,2018,87.33870003492494,88.90373804823624,10.58,16269,107.59391106060927,22.4,209379,35053,24446
Rajasthan,2019,86.23058637115544,95.1689635249734,5.03,19634,97.39268957698245,24.14,182154,12336,82779
Rajasthan,2020,86.61121824832001,92.34465317486655,8.56,21531,113.76665889406945,12.21,221907,74435,55631
Rajasthan,2021,87.8278534066558,87.9909770523038,11.9,19639,101.35507919681282,18.18,284828,30609,31478
Rajasthan,2022,88.72497220648373,88.05618303569047,11.52,22409,114.50392883679436,29.18,390487,22999,70318
Rajasthan,2023,88.54278822673578,93.88395555570347,5.79,18289,106.05495856801434,21.72,275885,27368,30328
Rajasthan,2024,84.86346408785806,92.5351834813288,6.92,26528,114.80326752472979,28.45,254263,10126,67329
